
2025-03-12T01:18:10.955Z [INFO] جاري تهيئة قاعدة البيانات...
2025-03-12T01:18:13.406Z [INFO] اكتملت عملية تهيئة قاعدة البيانات بنجاح
2025-03-12T01:18:25.219Z [INFO] GET /@fs/home/runner/workspace/node_modules/vite/dist/client/env.mjs - 304 - 232ms
2025-03-12T01:18:25.275Z [INFO] GET /src/components/ui/tabs.tsx - 304 - 231ms
2025-03-12T01:18:25.307Z [INFO] GET /src/lib/queryClient.ts - 304 - 234ms
2025-03-12T01:18:25.330Z [INFO] GET /src/components/ui/toaster.tsx - 304 - 231ms
2025-03-12T01:18:25.527Z [INFO] GET /src/hooks/use-auth.tsx - 304 - 231ms
2025-03-12T01:18:25.571Z [INFO] GET /src/lib/protected-route.tsx - 304 - 231ms
2025-03-12T01:18:25.681Z [INFO] GET /src/pages/not-found.tsx - 304 - 234ms
2025-03-12T01:18:25.757Z [INFO] GET /src/pages/auth-page.tsx - 304 - 232ms
2025-03-12T01:18:25.769Z [INFO] GET /src/pages/dashboard.tsx - 304 - 231ms
2025-03-12T01:18:25.796Z [INFO] GET /src/pages/inventory.tsx - 200 - 232ms
2025-03-12T01:18:25.991Z [INFO] GET /src/pages/sales.tsx - 304 - 232ms
2025-03-12T01:18:26.038Z [INFO] GET /src/pages/InvoicesPage.tsx - 304 - 232ms
2025-03-12T01:18:26.153Z [INFO] GET /src/pages/InvoiceDetailsPage.tsx - 304 - 231ms
2025-03-12T01:18:26.244Z [INFO] GET /src/pages/settings.tsx - 200 - 233ms
2025-03-12T01:18:26.246Z [INFO] GET /src/pages/staff.tsx - 304 - 234ms
2025-03-12T01:18:26.267Z [INFO] GET /src/pages/installments.tsx - 304 - 231ms
2025-03-12T01:18:26.459Z [INFO] GET /src/pages/marketing.tsx - 304 - 232ms
2025-03-12T01:18:26.512Z [INFO] GET /src/pages/reports.tsx - 200 - 231ms
2025-03-12T01:18:26.622Z [INFO] GET /src/pages/expenses.tsx - 304 - 234ms
2025-03-12T01:18:26.717Z [INFO] GET /src/pages/suppliers.tsx - 304 - 231ms
2025-03-12T01:18:26.730Z [INFO] GET /src/pages/barcodes.tsx - 304 - 231ms
2025-03-12T01:18:26.929Z [INFO] GET /src/pages/discount-codes.tsx - 304 - 235ms
2025-03-12T01:18:26.935Z [INFO] GET /src/pages/customers.tsx - 304 - 231ms
2025-03-12T01:18:27.083Z [INFO] GET /src/pages/appointments.tsx - 304 - 231ms
2025-03-12T01:18:27.185Z [INFO] GET /src/components/settings/change-password.tsx - 304 - 231ms
2025-03-12T01:18:27.202Z [INFO] GET /src/components/settings/theme-settings.tsx - 304 - 234ms
2025-03-12T01:18:27.313Z [INFO] GET /src/components/settings/api-keys-form.tsx - 304 - 232ms
2025-03-12T01:18:27.395Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/noto-kufi-arabic/400.css - 304 - 231ms
2025-03-12T01:18:27.407Z [INFO] GET /src/components/ui/badge.tsx - 304 - 232ms
2025-03-12T01:18:27.545Z [INFO] GET /src/components/ai/inventory-forecasting.tsx - 304 - 231ms
2025-03-12T01:18:27.667Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/noto-kufi-arabic/700.css - 304 - 232ms
2025-03-12T01:18:27.678Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/cairo/400.css - 304 - 231ms
2025-03-12T01:18:27.776Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/cairo/700.css - 304 - 231ms
2025-03-12T01:18:27.861Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/amiri/400.css - 304 - 234ms
2025-03-12T01:18:27.870Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/amiri/700.css - 304 - 231ms
2025-03-12T01:18:28.005Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/tajawal/400.css - 304 - 232ms
2025-03-12T01:18:28.137Z [INFO] GET /@fs/home/runner/workspace/node_modules/@fontsource/tajawal/700.css - 304 - 231ms
2025-03-12T01:18:28.141Z [INFO] GET /src/components/ui/card.tsx - 304 - 233ms
2025-03-12T01:18:28.259Z [INFO] GET /src/components/ui/select.tsx - 304 - 232ms
2025-03-12T01:18:28.336Z [INFO] GET /src/components/ui/button.tsx - 304 - 232ms
2025-03-12T01:18:28.338Z [INFO] GET /src/components/ui/calendar.tsx - 304 - 231ms
2025-03-12T01:18:28.473Z [INFO] GET /src/components/ui/popover.tsx - 304 - 234ms
2025-03-12T01:18:28.596Z [INFO] GET /src/components/layout/sidebar.tsx - 304 - 232ms
2025-03-12T01:18:28.610Z [INFO] GET /src/components/ui-ar/notification-center.tsx - 304 - 231ms
2025-03-12T01:18:28.778Z [INFO] GET /src/lib/utils.ts - 304 - 237ms
2025-03-12T01:18:28.803Z [INFO] GET /src/components/sidebar.tsx - 304 - 232ms
